Concrete mixture,"Moisture content, wc(%)_mean","Moisture content, wc(%)_SD","P-wave velocity, Vp(m/s)_mean","P-wave velocity, Vp(m/s)_SD","Dynamic elastic modulus, Yd(GPa)_mean","Dynamic elastic modulus, Yd(GPa)_SD","Global autocorrelation length, ξg(mm)_mean","Global autocorrelation length, ξg(mm)_SD","Integral range, Xog(mm)_mean","Integral range, Xog(mm)_SD","Autocorrelation length of the pore structure, ξp(μm)_mean","Autocorrelation length of the pore structure, ξp(μm)_SD","Integral range, Xop(mm)_mean","Integral range, Xop(mm)_SD","Mean pore diameter, dp(mm)_mean","Mean pore diameter, dp(mm)_SD","Maximum pore diameter, dpmax(mm)_mean","Maximum pore diameter, dpmax(mm)_SD","Porosity, po(%)_mean","Porosity, po(%)_SD","Diameter, φ(mm)","Height, h(mm)","Mass of sample, (kg)","Density, ρ(kg/m3)","Peak load, Fmax(kN)","Compressive failure strength, CS(MPa)"
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,213.0,2201.3,66.5,55.7
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,216.0,2232.3,81.0,67.8
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,214.0,2211.6,67.9,56.8
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,216.0,2232.3,72.2,60.4
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,214.0,2211.6,66.5,55.6
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,216.0,2232.3,70.7,59.2
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,215.0,2222.0,76.0,63.7
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,214.0,2211.6,60.3,50.4
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,80.5,208.0,2163.0,68.6,57.4
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,80.5,207.0,2152.6,80.5,67.4
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,211.0,2180.6,85.0,71.2
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,212.0,2190.9,70.4,59.0
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,212.0,2190.9,65.6,54.9
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,80.5,214.0,2225.4,77.6,64.9
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,210.0,2170.3,70.2,58.8
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,214.0,2211.6,66.4,55.6
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,80.5,213.0,2215.0,61.9,51.8
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,214.0,2211.6,67.2,56.3
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,215.0,2222.0,85.2,71.3
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,214.0,2211.6,60.8,50.9
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,214.0,2211.6,71.8,60.1
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,80.5,213.0,2215.0,70.3,58.9
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,215.0,2222.0,70.5,59.0
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,214.0,2211.6,72.6,60.8
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,80.5,213.0,2215.0,71.0,59.5
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,214.0,2211.6,59.3,49.6
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,213.0,2201.3,74.7,62.5
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,214.0,2211.6,76.2,63.8
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,212.0,2190.9,76.3,63.9
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,213.0,2201.3,75.1,62.9
F,5.4,0.5,3798.0,164.5,29.4,2.6,0.5,0.1,5.1,0.8,21.6,9.0,4.2,3.8,0.31,0.25,3.9,0.9,5.3,1.2,39.0,81.0,215.0,2222.0,80.9,67.8
